_returnType,coGrade,coValue,dataTerm,dataTime,khaiGrade,khaiValue,mangName,no2Grade,no2Value,numOfRows,o3Grade,o3Value,pageNo,pm10Grade,pm10Grade1h,pm10Value,pm10Value24,pm25Grade,pm25Grade1h,pm25Value,pm25Value24,resultCode,resultMsg,rnum,serviceKey,sidoName,so2Grade,so2Value,stationCode,stationName,totalCount,ver
json,1,0.3,,2019-09-11 16:00,2,64,도시대기,1,0.011,10,2,0.047,1,2,1,18,33,2,1,5,20,,,0,,,1,0.002,,수창동,,
json,1,0.4,,2019-09-11 16:00,,-,도시대기,1,0.006,10,2,0.047,1,,1,23,-,2,1,9,20,,,0,,,1,0.002,,지산동,,
json,1,0.2,,2019-09-11 16:00,2,69,도시대기,1,0.007,10,2,0.043,1,2,1,19,39,2,1,8,23,,,0,,,1,0.002,,서호동,,
json,1,0.4,,2019-09-11 16:00,2,79,도시대기,1,0.011,10,2,0.053,1,2,1,22,43,2,1,10,27,,,0,,,1,0.001,,이현동,,
json,1,0.4,,2019-09-11 16:00,2,77,도로변대기,1,0.019,10,2,0.034,1,2,1,16,38,2,1,3,26,,,0,,,1,0.002,,평리동,,
json,1,0.2,,2019-09-11 16:00,2,68,도시대기,1,0.006,10,2,0.051,1,2,1,14,31,2,1,9,19,,,0,,,1,0.001,,대명동,,
json,1,0.3,,2019-09-11 16:00,2,79,도시대기,1,0.014,10,2,0.053,1,2,1,24,45,2,1,14,27,,,0,,,1,0.002,,노원동,,
json,1,0.2,,2019-09-11 16:00,2,63,도시대기,1,0.009,10,2,0.046,1,2,1,13,33,2,1,6,18,,,0,,,1,0.002,,신암동,,
json,1,0.4,,2019-09-11 16:00,2,69,도시대기,1,0.007,10,2,0.043,1,2,1,29,41,2,1,11,23,,,0,,,1,0.002,,태전동,,
json,1,0.3,,2019-09-11 16:00,2,64,도시대기,1,0.006,10,2,0.047,1,2,1,11,31,2,1,8,20,,,0,,,1,0.002,,만촌동,,
